model,price,pnl_mean,pnl_std,trades_mean,abs_error_mean,cvar5,kelly_ratio,sharpe_ratio
NakedOption,0.09052276611328125,-0.07939215004444122,0.13141149282455444,0.0,0.15878430008888245,-0.485754132270813,-4.597383975982666,-0.6041491450668832
BSEuropeanOption,0.08019351959228516,-0.08020208775997162,0.004428520333021879,239.64939880371094,0.15914613008499146,-0.09045808762311935,-4089.482421875,-18.110355896673205
DeepHedger,0.08069515228271484,-0.08000564575195312,0.031869519501924515,248.98475646972656,0.1597496122121811,-0.13631853461265564,-78.77159118652344,-2.51041291029513
NoTransactionBandNet,0.08021831512451172,-0.08022445440292358,0.004423398524522781,245.4678955078125,0.15984292328357697,-0.09051524102687836,-4100.1015625,-18.136382355690642
SoftplusBandNet,0.08052444458007812,-0.07965363562107086,0.040928877890110016,20.16214942932129,0.15854837000370026,-0.1774158477783203,-47.54949951171875,-1.9461477367034983
SoftplusBandNet_CVaR,0.08037471771240234,-0.07979705929756165,0.029578352347016335,29.135499954223633,0.1589595377445221,-0.14844247698783875,-91.20926666259766,-2.6978198721806637
PPO_BandNet,0.08058357238769531,-0.07983322441577911,0.053701501339673996,20.67340087890625,0.15797390043735504,-0.2263646423816681,-27.682849884033203,-1.4866106612330283
