model,price,pnl_mean,pnl_std,trades_mean,abs_error_mean
BSEuropeanOption,0.08021259307861328,-0.08020518720149994,0.004417586140334606,242.3419952392578,0.15999868512153625
DeepHedger,0.0802145004272461,-0.0801125317811966,0.019043710082769394,248.99978637695312,0.16042107343673706
NoTransactionBandNet,0.07982826232910156,-0.07986729592084885,0.010348071344196796,62.057621002197266,0.16020087897777557
